               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089965,            0.066391,            0.043912,              0.2012,             0.52754,             0.20613,            0.067121,            0.061116,            0.060809,            0.044336,            0.070462,           0.0032821,           0.0032821
                   1,            0.066989,            0.057163,            0.035945,             0.25774,             0.57055,              0.2794,            0.097479,            0.059981,            0.037057,            0.040558,            0.040418,           0.0065717,           0.0065717
                   2,            0.062655,             0.04779,            0.031617,             0.30078,             0.63166,             0.40991,             0.17556,            0.057947,            0.034314,            0.033887,             0.01033,           0.0098174,           0.0098174
                   3,            0.056985,            0.048121,            0.026228,             0.54047,             0.64207,             0.60606,              0.2862,            0.045841,            0.033638,             0.02781,            0.009802,            0.009802,            0.009802
                   4,            0.051745,            0.045023,            0.021675,             0.72834,             0.70074,             0.74795,             0.32075,            0.042245,            0.031569,             0.02219,            0.009802,            0.009802,            0.009802
                   5,             0.04822,            0.044941,            0.018927,             0.78476,             0.70217,             0.78726,             0.37635,            0.036635,            0.031713,            0.018598,            0.009736,            0.009736,            0.009736
                   6,            0.046292,            0.044935,            0.016225,             0.82495,              0.6586,             0.78248,             0.36807,            0.040008,            0.032662,            0.016454,             0.00967,             0.00967,             0.00967
                   7,            0.043668,            0.043283,            0.013875,             0.70801,             0.77192,             0.80757,             0.46726,            0.034703,            0.031712,            0.012723,            0.009604,            0.009604,            0.009604
                   8,            0.042853,            0.043014,            0.013566,             0.80025,             0.76486,             0.81703,             0.44893,            0.033961,            0.031518,            0.013089,            0.009538,            0.009538,            0.009538
                   9,            0.042561,            0.043642,            0.011868,             0.80539,             0.73634,             0.81019,             0.49047,             0.03319,            0.031844,            0.010784,            0.009472,            0.009472,            0.009472
                  10,            0.041098,            0.044884,            0.011625,             0.82828,             0.76142,               0.832,             0.47102,            0.033598,            0.031633,            0.013546,            0.009406,            0.009406,            0.009406
                  11,            0.040788,            0.043295,           0.0098588,             0.85824,             0.77598,             0.84313,              0.5184,            0.032213,            0.030584,            0.010106,             0.00934,             0.00934,             0.00934
                  12,            0.040166,            0.042843,            0.010127,             0.88493,             0.79009,             0.85106,             0.52779,            0.032589,            0.031698,           0.0088165,            0.009274,            0.009274,            0.009274
                  13,            0.039171,            0.041663,           0.0092968,             0.84412,             0.77953,             0.83789,             0.49982,            0.031825,            0.030957,            0.014169,            0.009208,            0.009208,            0.009208
                  14,             0.03924,            0.042267,           0.0086192,              0.8493,             0.75668,             0.83627,             0.50966,            0.032516,            0.030772,           0.0096954,            0.009142,            0.009142,            0.009142
                  15,            0.038021,            0.041366,           0.0082577,             0.83427,             0.79988,             0.85898,              0.5572,            0.030456,            0.029915,            0.010316,            0.009076,            0.009076,            0.009076
                  16,             0.03775,            0.041632,           0.0087702,             0.84329,             0.77216,             0.83337,             0.51853,            0.030621,             0.03117,             0.01026,             0.00901,             0.00901,             0.00901
                  17,            0.037992,            0.040947,           0.0078711,             0.87064,             0.78625,             0.85718,              0.5371,            0.031023,            0.031196,           0.0087234,            0.008944,            0.008944,            0.008944
                  18,            0.037674,            0.041219,           0.0080221,              0.8365,             0.73703,             0.83624,             0.52011,            0.030049,             0.03138,            0.013489,            0.008878,            0.008878,            0.008878
                  19,            0.037343,            0.041491,           0.0076452,             0.83135,             0.81615,             0.85668,             0.57132,             0.02826,            0.029732,            0.010183,            0.008812,            0.008812,            0.008812
                  20,            0.036813,            0.042458,           0.0076452,             0.87676,             0.78118,             0.85955,             0.57293,            0.027184,            0.031521,           0.0085551,            0.008746,            0.008746,            0.008746
                  21,            0.035399,            0.039451,           0.0072191,             0.86235,             0.78418,             0.84853,             0.54858,            0.028939,            0.031422,           0.0094493,             0.00868,             0.00868,             0.00868
                  22,             0.03603,            0.039529,           0.0063027,             0.81931,             0.77511,             0.81849,             0.55358,             0.02832,            0.030514,            0.012569,            0.008614,            0.008614,            0.008614
                  23,            0.035306,            0.038851,           0.0071746,             0.78671,              0.8463,             0.83869,             0.57328,            0.027635,            0.029888,            0.010805,            0.008548,            0.008548,            0.008548
                  24,            0.035288,            0.039582,           0.0066379,              0.8104,             0.82765,              0.8461,             0.56996,            0.027005,            0.030506,            0.010047,            0.008482,            0.008482,            0.008482
                  25,            0.035249,            0.039358,           0.0063528,             0.83735,             0.83204,             0.85598,             0.53474,            0.031517,            0.031301,           0.0095952,            0.008416,            0.008416,            0.008416
                  26,            0.035509,            0.039112,           0.0064925,             0.84073,             0.80392,             0.85754,             0.53484,            0.030274,            0.031651,           0.0095233,             0.00835,             0.00835,             0.00835
                  27,            0.034716,            0.039973,           0.0067267,             0.88713,             0.80519,             0.87263,             0.57576,            0.027673,            0.030432,           0.0085943,            0.008284,            0.008284,            0.008284
                  28,            0.034342,            0.038666,           0.0058367,             0.79033,             0.80519,             0.83742,             0.56946,            0.027758,              0.0298,            0.009845,            0.008218,            0.008218,            0.008218
                  29,            0.034042,            0.038735,           0.0057248,             0.89332,             0.78764,             0.86736,             0.58759,            0.027044,            0.030497,           0.0091565,            0.008152,            0.008152,            0.008152
                  30,            0.034358,            0.039725,           0.0058521,             0.86361,             0.80989,             0.86478,              0.5723,            0.027322,            0.030241,            0.010403,            0.008086,            0.008086,            0.008086
                  31,            0.033679,            0.036952,           0.0052846,             0.76471,             0.82851,             0.83388,             0.55836,            0.028014,            0.030848,            0.010971,             0.00802,             0.00802,             0.00802
                  32,            0.033027,            0.038424,           0.0054885,             0.86281,             0.75321,              0.8333,             0.57229,            0.027305,            0.030495,            0.013683,            0.007954,            0.007954,            0.007954
                  33,            0.033319,            0.038114,           0.0054895,             0.87092,             0.81969,             0.85957,             0.57617,            0.027221,            0.031717,           0.0079425,            0.007888,            0.007888,            0.007888
                  34,            0.033666,              0.0373,           0.0054485,             0.84493,             0.78311,             0.83909,             0.56853,            0.026916,            0.031479,            0.012779,            0.007822,            0.007822,            0.007822
                  35,            0.033343,            0.037943,           0.0046529,             0.86061,              0.8168,             0.85778,             0.58168,            0.026822,            0.030401,            0.010378,            0.007756,            0.007756,            0.007756
                  36,            0.032829,            0.036535,           0.0050057,             0.87402,              0.8137,             0.86091,             0.59172,            0.026068,            0.030564,           0.0090065,             0.00769,             0.00769,             0.00769
                  37,            0.032682,            0.038204,           0.0049302,             0.86061,             0.81474,             0.87248,             0.60348,            0.026097,            0.030457,            0.010149,            0.007624,            0.007624,            0.007624
                  38,            0.033117,            0.037942,             0.00479,             0.82194,             0.81582,             0.85338,             0.58799,            0.026147,            0.030248,            0.012373,            0.007558,            0.007558,            0.007558
                  39,            0.032433,             0.03697,           0.0046483,             0.84619,             0.80705,             0.85338,             0.58625,              0.0259,            0.030538,            0.012587,            0.007492,            0.007492,            0.007492
                  40,            0.032444,            0.038062,           0.0048663,             0.84378,             0.82147,             0.85786,             0.59671,            0.025775,            0.030029,           0.0090464,            0.007426,            0.007426,            0.007426
                  41,            0.031228,            0.035726,           0.0045049,             0.89937,             0.79729,             0.86429,             0.60321,            0.026281,            0.030018,           0.0089404,             0.00736,             0.00736,             0.00736
                  42,            0.031489,            0.037198,           0.0048677,             0.84539,              0.8045,             0.84315,             0.58716,             0.02524,            0.030341,            0.010148,            0.007294,            0.007294,            0.007294
                  43,            0.032296,            0.037367,           0.0046731,             0.85487,             0.81719,             0.86728,             0.59001,            0.026127,            0.030165,           0.0097585,            0.007228,            0.007228,            0.007228
                  44,            0.030846,            0.036251,           0.0044818,             0.85894,             0.81963,             0.87014,             0.59145,            0.026364,            0.030116,           0.0079323,            0.007162,            0.007162,            0.007162
                  45,            0.030511,             0.03633,            0.004141,             0.85724,             0.82238,             0.86411,             0.60297,            0.025264,            0.030996,           0.0093969,            0.007096,            0.007096,            0.007096
                  46,             0.03092,            0.035443,           0.0037071,              0.8442,             0.81885,             0.86264,             0.59678,            0.025861,              0.0303,           0.0093839,             0.00703,             0.00703,             0.00703
                  47,            0.031373,            0.037725,           0.0039354,             0.86823,             0.78439,             0.86168,              0.6046,            0.024757,            0.029855,           0.0096334,            0.006964,            0.006964,            0.006964
                  48,            0.029817,            0.034521,           0.0040262,             0.85315,             0.82314,             0.87906,             0.60743,            0.025458,            0.029722,           0.0091426,            0.006898,            0.006898,            0.006898
                  49,            0.030267,            0.035707,           0.0034669,             0.86449,             0.80792,             0.86481,             0.58847,             0.02621,            0.029837,            0.010342,            0.006832,            0.006832,            0.006832
                  50,            0.030448,             0.03592,           0.0035556,             0.86413,             0.82724,             0.87779,             0.60174,            0.026055,            0.029813,           0.0085116,            0.006766,            0.006766,            0.006766
