               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094944,             0.06212,            0.045907,            0.012524,             0.62419,            0.029752,           0.0070779,            0.078052,            0.067067,            0.043547,              0.0739,              0.0029,              0.0029
                   1,            0.068211,            0.074387,            0.040108,             0.22598,             0.72734,              0.3642,             0.10619,            0.057786,            0.061235,            0.035683,            0.046881,           0.0058805,           0.0058805
                   2,            0.062706,            0.055279,            0.032201,             0.26886,             0.43991,             0.31572,             0.09599,            0.060781,            0.041321,            0.025653,            0.019841,           0.0088413,           0.0088413
                   3,             0.06296,            0.044444,            0.023182,             0.33501,             0.62274,             0.45462,              0.1542,            0.057154,            0.041222,            0.020165,            0.009901,            0.009901,            0.009901
                   4,            0.057405,            0.042632,            0.018587,             0.42499,             0.67593,             0.49652,             0.16189,            0.055285,            0.041757,            0.018425,            0.009901,            0.009901,            0.009901
                   5,            0.052863,            0.040192,            0.015834,             0.52571,             0.70585,             0.57994,             0.18323,            0.054961,            0.041043,            0.016066,            0.009868,            0.009868,            0.009868
                   6,              0.0515,            0.041714,            0.014901,             0.53623,             0.73528,             0.67642,             0.27013,            0.048929,            0.041272,            0.013731,            0.009835,            0.009835,            0.009835
                   7,            0.048275,            0.040332,            0.012709,             0.63764,             0.72755,             0.72024,             0.26203,            0.050676,            0.041042,            0.013834,            0.009802,            0.009802,            0.009802
                   8,            0.046905,            0.040087,            0.011091,              0.7102,             0.72107,             0.74369,             0.29035,            0.047778,            0.040791,            0.012181,            0.009769,            0.009769,            0.009769
                   9,            0.045828,            0.038812,           0.0096657,             0.77707,             0.67138,              0.7209,             0.27095,            0.050429,            0.041072,            0.012084,            0.009736,            0.009736,            0.009736
                  10,             0.04502,             0.03843,           0.0075306,             0.82772,             0.72737,             0.78576,             0.30411,            0.045675,            0.040864,           0.0099976,            0.009703,            0.009703,            0.009703
                  11,             0.04571,            0.040314,           0.0064209,             0.79994,             0.71814,             0.75295,             0.30841,            0.049452,            0.041572,            0.011075,             0.00967,             0.00967,             0.00967
                  12,            0.044978,             0.03857,           0.0062365,             0.74546,             0.76006,             0.78879,               0.314,            0.047086,            0.041102,            0.010939,            0.009637,            0.009637,            0.009637
                  13,            0.044065,            0.038193,            0.006146,             0.78447,             0.74186,             0.78761,             0.31765,            0.046389,            0.040651,            0.015582,            0.009604,            0.009604,            0.009604
                  14,            0.043682,            0.038828,           0.0056229,              0.7688,             0.72161,             0.76228,              0.3252,            0.047294,            0.039968,             0.01143,            0.009571,            0.009571,            0.009571
                  15,             0.04134,            0.035406,           0.0056348,             0.77719,             0.73682,             0.76313,             0.28222,              0.0483,            0.043522,           0.0082306,            0.009538,            0.009538,            0.009538
                  16,            0.040888,            0.034884,           0.0048198,              0.8199,             0.74591,             0.77937,             0.29809,             0.04738,            0.042066,            0.011034,            0.009505,            0.009505,            0.009505
                  17,            0.040366,            0.037483,           0.0050909,             0.78458,             0.74839,             0.75872,             0.29695,            0.047471,            0.043126,            0.012907,            0.009472,            0.009472,            0.009472
                  18,            0.041529,            0.037941,           0.0051849,             0.79971,             0.75253,             0.78835,             0.33119,            0.044613,            0.042182,            0.012992,            0.009439,            0.009439,            0.009439
                  19,             0.04042,            0.037231,           0.0044309,             0.83335,             0.76813,             0.81045,             0.33081,              0.0441,            0.042507,           0.0095566,            0.009406,            0.009406,            0.009406
                  20,             0.04132,            0.036876,             0.00438,             0.81287,             0.70567,              0.7488,             0.28176,            0.049644,            0.042299,             0.00952,            0.009373,            0.009373,            0.009373
                  21,            0.040274,            0.037801,           0.0040636,             0.81048,              0.7421,             0.79909,             0.33574,            0.045582,            0.042987,            0.010678,             0.00934,             0.00934,             0.00934
                  22,            0.039594,            0.037383,            0.003701,             0.76446,             0.74581,             0.75301,             0.29427,            0.048076,            0.042085,            0.011071,            0.009307,            0.009307,            0.009307
                  23,            0.039143,            0.036958,           0.0040129,             0.81473,             0.76066,              0.8232,             0.33377,            0.043993,            0.042364,           0.0092433,            0.009274,            0.009274,            0.009274
                  24,            0.040231,            0.034372,           0.0042894,             0.83318,             0.71755,             0.77805,             0.29793,            0.048285,            0.042452,           0.0090614,            0.009241,            0.009241,            0.009241
                  25,             0.03824,            0.036093,           0.0040603,             0.81845,             0.77083,             0.81292,             0.32687,             0.04483,            0.043581,            0.007653,            0.009208,            0.009208,            0.009208
                  26,            0.037806,            0.033257,           0.0037502,             0.82317,             0.75571,             0.78041,              0.3147,            0.045807,            0.042817,            0.010291,            0.009175,            0.009175,            0.009175
                  27,            0.038333,            0.034598,           0.0036805,             0.85355,             0.74844,             0.78207,             0.29833,            0.048507,             0.04489,           0.0078344,            0.009142,            0.009142,            0.009142
                  28,            0.037088,            0.034355,           0.0035647,             0.75429,             0.73277,              0.7128,             0.26159,            0.051619,             0.04483,           0.0081334,            0.009109,            0.009109,            0.009109
                  29,            0.037555,             0.03478,           0.0030853,              0.8467,             0.74739,             0.80759,              0.3195,            0.046312,            0.043599,            0.007962,            0.009076,            0.009076,            0.009076
                  30,             0.03796,            0.035785,           0.0032422,             0.78088,             0.74346,             0.74858,             0.29364,            0.051408,            0.043973,           0.0061056,            0.009043,            0.009043,            0.009043
                  31,            0.037172,            0.033729,           0.0034358,             0.80194,             0.80292,             0.80591,             0.31955,            0.045531,            0.045198,           0.0080816,             0.00901,             0.00901,             0.00901
                  32,             0.03678,            0.034907,           0.0032422,             0.80452,             0.75794,              0.7748,             0.29365,            0.046167,            0.043872,           0.0085818,            0.008977,            0.008977,            0.008977
